timestamp,participant_id,session_id,trial_id,condition_code,run_code,condition_name,practice,study,environment,feedback_timing,modality,episode,step,state_before_row,state_before_col,action,action_name,state_after_row,state_after_col,reward,total_reward,done,target_reached,collision,entropy_coef,ambiguity_detected
1787760798.821997,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,1,1,0,0,3,RIGHT,0,1,-0.5,-0.5,0,0,0,0.05,0
1787760798.884686,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,1,2,0,1,1,DOWN,1,1,-50.0,-50.5,1,0,1,0.049975000000000006,0
1787760798.946393,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,2,1,0,0,3,RIGHT,0,1,-0.5,-0.5,0,0,0,0.049975000000000006,0
1787760799.009855,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,2,2,0,1,2,LEFT,0,0,-1.5,-2.0,0,0,0,0.049975000000000006,0
1787760799.073134,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,2,3,0,0,0,UP,-1,0,-50.0,-52.0,1,0,1,0.04995001250000001,0
1787760799.136000,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,3,1,0,0,3,RIGHT,0,1,-0.5,-0.5,0,0,0,0.04995001250000001,0
1787760799.198117,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,3,2,0,1,3,RIGHT,0,2,-0.5,-1.0,0,0,0,0.04995001250000001,0
1787760799.259865,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,3,3,0,2,3,RIGHT,0,3,-0.5,-1.5,0,0,0,0.04995001250000001,0
1787760799.322959,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,3,4,0,3,0,UP,-1,3,-50.0,-51.5,1,0,1,0.04992503749375001,0
1787760799.385975,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,4,1,0,0,2,LEFT,0,-1,-50.0,-50.0,1,0,1,0.049900074975003136,0
1787760799.450036,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,5,1,0,0,1,DOWN,1,0,-0.5,-0.5,0,0,0,0.049900074975003136,0
1787760799.513045,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,5,2,1,0,3,RIGHT,1,1,-50.0,-50.5,1,0,1,0.049875124937515634,0
1787760799.577046,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,6,1,0,0,2,LEFT,0,-1,-50.0,-50.0,1,0,1,0.04985018737504688,0
1787760799.640870,P001,P001_S01,P001_S01_ST1TR_TR03_R02,TR03,R02,Gridworld_Requested_Voice,1,Study 1,Gridworld,Requested Feedback,Voice,7,1,0,0,3,RIGHT,0,1,-0.5,-0.5,0,0,0,0.04985018737504688,0
